material_id,formula,formation_energy,band_gap,stability_score,converged,cluster_id
SIM-MAT-0034,Si2Ge3,-0.3786,1.767,0.7596,True,guangzhou
SIM-MAT-0035,Ge3Al3,0.1774,1.447,0.5355,True,kunshan
SIM-MAT-0036,As2O3,-0.6551,3.852,0.6986,True,jinan
SIM-MAT-0037,SiN,-1.185,2.127,0.8847,False,changsha
SIM-MAT-0038,Cu3Ti,0.3789,2.795,0.2139,True,guangzhou
SIM-MAT-0039,As3Ti3,-0.8121,3.517,0.8379,False,kunshan
SIM-MAT-0040,N2Ti,-0.278,3.119,0.686,True,jinan
SIM-MAT-0041,Ge2N,-0.3094,3.695,0.6169,True,changsha
SIM-MAT-0042,Si2N3,0.1399,3.635,0.5094,True,guangzhou
SIM-MAT-0043,O2Ti2,-0.8544,0.058,0.8929,True,kunshan
SIM-MAT-0044,Si3S2,-0.2422,3.474,0.7269,True,jinan
SIM-MAT-0045,Al3S3,-0.6923,0.696,0.7167,True,changsha
SIM-MAT-0046,O2Ge,-0.922,1.273,0.7326,True,guangzhou
SIM-MAT-0047,TiS,-0.3626,3.466,0.6506,True,kunshan
SIM-MAT-0048,SCu,-0.8293,2.744,0.8968,True,jinan
SIM-MAT-0049,As3Zn2,-0.0579,0.895,0.4581,True,changsha
SIM-MAT-0050,Cu3Se,0.398,3.534,0.4785,True,guangzhou
SIM-MAT-0051,OSi3,-0.6062,3.511,0.8281,True,kunshan
SIM-MAT-0052,TiO,0.1096,3.994,0.4098,False,jinan
SIM-MAT-0053,As2Al,-0.4924,1.257,0.6582,True,changsha
SIM-MAT-0054,Zn2N2,0.2136,2.957,0.5157,True,guangzhou
SIM-MAT-0055,Zn3As3,0.1435,0.0,0.5199,True,kunshan
SIM-MAT-0056,Ga2Se3,-0.1486,1.088,0.6268,True,jinan
SIM-MAT-0057,Ga3Si,-0.5198,0.591,0.8337,True,changsha
SIM-MAT-0058,Ti3S3,-0.3829,3.873,0.8194,True,guangzhou
SIM-MAT-0059,SGa2,0.2294,2.131,0.4506,True,kunshan
SIM-MAT-0060,As2N3,-0.1222,2.284,0.6026,True,jinan
SIM-MAT-0061,OAs2,-0.5512,2.479,0.7628,True,changsha
SIM-MAT-0062,O3Al,-0.0699,3.713,0.4724,True,guangzhou
SIM-MAT-0063,GeTi3,0.2791,1.36,0.4143,True,kunshan
SIM-MAT-0064,Ga3Al2,-0.8333,0.0,0.8887,True,jinan
SIM-MAT-0065,Ga3Al,-0.5702,1.909,0.555,True,changsha
SIM-MAT-0066,SGa2,0.3255,2.821,0.4605,True,guangzhou
SIM-MAT-0067,SiGa2,-0.7484,2.382,0.8995,True,kunshan
SIM-MAT-0068,Ge2Cu3,-0.6884,3.341,0.802,True,jinan
SIM-MAT-0069,Ge3Ti2,-0.0865,2.355,0.5413,True,changsha
SIM-MAT-0070,Si2Zn3,-0.4753,0.0,0.6356,True,guangzhou
SIM-MAT-0071,Ga3Zn,-0.9414,1.303,0.8538,True,kunshan
SIM-MAT-0072,NAs2,-0.2009,0.0,0.5489,True,jinan
SIM-MAT-0073,Al3Si3,-0.0979,2.179,0.6191,True,changsha
SIM-MAT-0074,Zn2S3,-0.5065,1.617,0.8037,True,guangzhou
SIM-MAT-0075,NO2,-0.6213,0.0,0.791,False,kunshan
SIM-MAT-0076,Si2As,-0.1623,2.824,0.7126,True,jinan
SIM-MAT-0077,Cu2Ti,-0.2882,1.517,0.5573,True,changsha
SIM-MAT-0078,GaSe,-0.867,0.71,0.7736,True,guangzhou
SIM-MAT-0079,CuS2,-0.3618,3.165,0.629,True,kunshan
SIM-MAT-0080,NS2,0.4121,1.543,0.483,True,jinan
SIM-MAT-0081,Ge2O,-0.7459,0.906,0.6625,True,changsha
SIM-MAT-0082,Ge3Se3,-0.7452,1.188,0.8879,True,guangzhou
SIM-MAT-0083,Cu3Ge2,0.2125,0.691,0.3765,True,kunshan
SIM-MAT-0084,ON,-0.2483,3.899,0.7658,True,jinan
SIM-MAT-0085,SGa,-0.301,2.771,0.7263,True,changsha
SIM-MAT-0086,NAs,-1.6106,2.098,0.99,True,guangzhou
SIM-MAT-0087,AsGa2,0.4118,1.675,0.2953,True,kunshan
SIM-MAT-0088,ZnSi2,-0.0981,0.603,0.5558,False,jinan
SIM-MAT-0089,ZnCu,-0.9564,3.71,0.9425,False,changsha
SIM-MAT-0090,OSi,-0.2425,2.095,0.5643,True,guangzhou
SIM-MAT-0091,Cu3Al2,-0.7375,1.487,0.8091,True,kunshan
SIM-MAT-0092,Se2As,0.152,0.96,0.4089,True,jinan
SIM-MAT-0093,SeZn,-0.0494,0.0,0.5064,True,changsha
SIM-MAT-0094,Al2Se,-0.3046,3.863,0.7063,True,guangzhou
SIM-MAT-0095,TiAl,-0.1069,1.347,0.6249,True,kunshan
SIM-MAT-0096,OAs,-0.5614,2.996,0.7633,True,jinan
SIM-MAT-0097,Ti2Se3,0.2877,0.436,0.4871,True,changsha
SIM-MAT-0098,S3Si2,-0.6732,3.837,0.8744,True,guangzhou
SIM-MAT-0099,Cu3Al,0.2705,0.804,0.2307,True,kunshan
SIM-MAT-0100,Si2Cu,-0.3989,1.743,0.8116,True,jinan
SIM-MAT-0101,Ge3Ga2,-0.9223,0.958,0.806,True,changsha
SIM-MAT-0102,NGe3,-0.0019,2.68,0.4865,True,guangzhou
SIM-MAT-0103,Al2Ge,-0.1503,2.74,0.6929,True,kunshan
SIM-MAT-0104,Zn3Se,-0.7395,3.115,0.8851,True,jinan
SIM-MAT-0105,Al3Ga,-0.5136,1.318,0.7774,True,changsha
SIM-MAT-0106,S3N,-0.5684,3.75,0.7346,True,guangzhou
SIM-MAT-0107,Cu2N2,-0.7644,3.638,0.8715,True,kunshan
SIM-MAT-0108,As3Si2,-0.0484,0.126,0.6497,True,jinan
SIM-MAT-0109,Se2Cu,-0.354,1.433,0.5844,True,changsha
SIM-MAT-0110,S2Ga2,-0.7064,3.281,0.9863,True,guangzhou
SIM-MAT-0111,O3Se3,-0.7511,1.423,0.8802,True,kunshan
SIM-MAT-0112,Ti2As,0.3064,1.735,0.5081,False,jinan
SIM-MAT-0113,Zn2Ge3,-0.3832,2.591,0.6787,True,changsha
SIM-MAT-0114,ZnGa3,-0.4125,2.192,0.722,True,guangzhou
SIM-MAT-0115,Zn3As2,-0.4227,3.451,0.6788,True,kunshan
SIM-MAT-0116,Se2Ti,0.3474,0.0,0.3668,True,jinan
SIM-MAT-0117,S2Al,-0.6734,0.123,0.9313,True,changsha
SIM-MAT-0118,Se3Ge3,-0.0736,3.307,0.6765,True,guangzhou
SIM-MAT-0119,O2Se3,0.1831,3.14,0.4546,False,kunshan
SIM-MAT-0120,Si3As,-0.7598,3.827,0.5298,False,jinan
SIM-MAT-0121,SeCu3,-0.4791,0.0,0.7273,True,changsha
SIM-MAT-0122,Si2As,-0.3423,0.164,0.6551,True,guangzhou
SIM-MAT-0123,Se2Al2,0.1311,3.703,0.3986,True,kunshan
SIM-MAT-0124,GaN3,-0.641,3.63,0.7683,True,jinan
SIM-MAT-0125,Zn2S3,-0.8039,0.72,0.7699,True,changsha
SIM-MAT-0126,GeTi,-0.99,0.051,0.9308,True,guangzhou
SIM-MAT-0127,S2Ga2,-0.0481,2.848,0.4233,True,kunshan
SIM-MAT-0128,Al3As,0.0127,0.677,0.5701,True,jinan
SIM-MAT-0129,S2Ti,0.2769,0.213,0.3859,True,changsha
SIM-MAT-0130,Si2O2,0.0812,3.981,0.6051,True,guangzhou
SIM-MAT-0131,O2Al2,0.1527,1.862,0.455,True,kunshan
SIM-MAT-0132,Cu3As3,-0.0978,2.008,0.516,True,jinan
SIM-MAT-0133,N3O,-0.3116,3.103,0.6531,True,changsha
SIM-MAT-0134,Se3N3,-0.9093,0.0,0.7665,True,guangzhou
SIM-MAT-0135,Zn3O,-0.8777,1.851,0.8347,True,kunshan
SIM-MAT-0136,AsGe2,-0.172,0.942,0.6202,True,jinan
SIM-MAT-0137,Al2Zn2,-0.0593,1.688,0.622,True,changsha
SIM-MAT-0138,Zn2O2,0.5539,0.523,0.3325,True,guangzhou
SIM-MAT-0139,Zn2Ga3,-0.6344,3.056,0.8322,False,kunshan
SIM-MAT-0140,Ti2Cu3,-0.4088,3.568,0.598,True,jinan
SIM-MAT-0141,Ti2Se2,-0.1034,1.083,0.6521,True,changsha
SIM-MAT-0142,GaAl3,-1.0185,0.97,0.8738,True,guangzhou
SIM-MAT-0143,NTi,-0.149,3.245,0.5727,True,kunshan
SIM-MAT-0144,O2Ge2,-0.4083,1.034,0.7397,True,jinan
SIM-MAT-0145,GeCu3,-0.0257,0.515,0.4492,True,changsha
SIM-MAT-0146,Ga2N2,0.6332,0.0,0.3048,True,guangzhou
SIM-MAT-0147,Al2Cu,-0.5275,0.793,0.8233,True,kunshan
SIM-MAT-0148,Ti3Cu3,-0.1706,0.151,0.7258,True,jinan
SIM-MAT-0149,GeCu2,0.3006,2.576,0.6045,True,changsha
SIM-MAT-0150,Ga2Si2,-0.9245,2.023,0.8158,True,guangzhou
SIM-MAT-0151,Ga2Ti3,-0.2757,0.0,0.6113,True,kunshan
SIM-MAT-0152,NGa3,-0.2169,3.244,0.6408,True,jinan
SIM-MAT-0153,Se3Zn2,0.1784,0.0,0.4822,True,changsha
SIM-MAT-0154,OS2,-0.2249,3.529,0.7194,True,guangzhou
SIM-MAT-0155,SGe,0.0059,2.276,0.3863,True,kunshan
SIM-MAT-0156,Cu2Zn,-0.2884,3.171,0.6625,True,jinan
SIM-MAT-0157,Ti3Cu2,0.5958,2.493,0.1935,True,changsha
SIM-MAT-0158,AlN,-0.2475,1.54,0.6024,True,guangzhou
SIM-MAT-0159,AsGe2,-0.3446,0.0,0.7263,True,kunshan
SIM-MAT-0160,ZnAs,0.0562,0.755,0.5676,True,jinan
SIM-MAT-0161,Se2Zn,-0.4908,0.0,0.704,True,changsha
SIM-MAT-0162,Ga2S,0.063,2.551,0.4902,True,guangzhou
SIM-MAT-0163,SGa2,-0.1265,0.664,0.5751,True,kunshan
SIM-MAT-0164,Se3Cu2,-0.8452,2.36,0.6727,True,jinan
SIM-MAT-0165,SeGa2,-0.1411,3.742,0.5609,True,changsha
SIM-MAT-0166,SiSe2,-0.4602,0.0,0.7263,True,guangzhou
SIM-MAT-0167,S2Ga2,0.1392,3.362,0.477,True,kunshan
SIM-MAT-0168,AlAs2,0.4574,0.699,0.3866,False,jinan
SIM-MAT-0169,Ti3N3,-1.0506,2.311,0.9152,True,changsha
SIM-MAT-0170,Ti3O,-0.4434,0.893,0.7044,True,guangzhou
SIM-MAT-0171,Zn2Ge2,0.2546,1.242,0.4677,True,kunshan
SIM-MAT-0172,As3Zn2,-0.255,1.728,0.6397,True,jinan
SIM-MAT-0173,N2Ti3,-0.1041,2.478,0.538,True,changsha
SIM-MAT-0174,SiCu,0.2303,2.777,0.6061,True,guangzhou
SIM-MAT-0175,O3S2,-0.6642,0.0,0.7852,True,kunshan
SIM-MAT-0176,AlAs2,-0.3834,3.008,0.6831,True,jinan
SIM-MAT-0177,As3O,-0.0436,3.46,0.4535,True,changsha
SIM-MAT-0178,Cu2S2,-1.2095,3.292,0.9302,False,guangzhou
SIM-MAT-0179,S3N3,-0.5658,0.119,0.7593,True,kunshan
SIM-MAT-0180,TiGe3,0.1663,0.83,0.4228,True,jinan
SIM-MAT-0181,NAs3,0.1657,0.653,0.4964,True,changsha
SIM-MAT-0182,As2S3,-1.0577,0.592,0.9245,True,guangzhou
SIM-MAT-0183,Ge3Cu2,-1.1184,3.588,0.8267,True,kunshan
SIM-MAT-0184,Si2As,-0.5739,2.959,0.6976,True,jinan
SIM-MAT-0185,Si2Zn2,-0.0549,0.832,0.6322,True,changsha
SIM-MAT-0186,Se3Zn3,-0.5074,2.293,0.7517,True,guangzhou
SIM-MAT-0187,As3S,0.4202,0.27,0.4057,True,kunshan
SIM-MAT-0188,Ti3Zn,-0.4764,3.913,0.6839,True,jinan
SIM-MAT-0189,OSe,0.059,3.702,0.5318,True,changsha
SIM-MAT-0190,Al3Cu2,-0.22,2.349,0.5529,True,guangzhou
SIM-MAT-0191,Ge2S3,-0.3781,3.612,0.7008,True,kunshan
SIM-MAT-0192,Si3Ge2,-0.0354,2.03,0.56,True,jinan
SIM-MAT-0193,Se3Ga2,-0.8448,0.485,0.9057,True,changsha
SIM-MAT-0194,O2Ge2,-1.2477,0.447,0.99,True,guangzhou
SIM-MAT-0195,SiCu2,-0.602,1.008,0.7928,True,kunshan
SIM-MAT-0196,Si3N2,-1.4677,0.0,0.99,True,jinan
SIM-MAT-0197,S2Ge2,-0.2869,1.259,0.7416,False,changsha
SIM-MAT-0198,SeS,-0.61,0.254,0.7993,True,guangzhou
SIM-MAT-0199,OS,-1.0094,1.148,0.8137,True,kunshan
SIM-MAT-0200,Al3Ga3,-0.7009,0.645,0.6987,True,jinan
