time,kinetic_energy,internal_energy,hourglass_energy,kinetic,internal,hourglass
0.08319,105.691,226.418,4.295,105.691,226.418,4.295
0.08445,103.816,225.278,4.247,103.816,225.278,4.247
0.08571,101.308,227.843,4.303,101.308,227.843,4.303
0.08697,99.164,228.827,4.316,99.164,228.827,4.316
0.08824,98.361,231.542,4.09,98.361,231.542,4.09
0.0895,96.758,232.805,3.976,96.758,232.805,3.976
0.09076,95.619,233.22,4.277,95.619,233.22,4.277
0.09202,93.751,236.528,3.835,93.751,236.528,3.835
0.09328,91.719,237.348,4.062,91.719,237.348,4.062
0.09454,90.932,238.487,4.004,90.932,238.487,4.004
0.0958,89.551,241.527,3.893,89.551,241.527,3.893
0.09706,87.061,241.532,4.088,87.061,241.532,4.088
0.09832,87.027,244.454,3.823,87.027,244.454,3.823
0.09958,84.974,245.116,3.952,84.974,245.116,3.952
0.10084,83.938,247.505,3.867,83.938,247.505,3.867
0.1021,82.045,249.64,3.645,82.045,249.64,3.645
0.10336,81.567,247.965,3.59,81.567,247.965,3.59
0.10462,79.738,249.679,3.681,79.738,249.679,3.681
0.10588,78.628,251.265,3.799,78.628,251.265,3.799
0.10714,78.14,251.579,3.706,78.14,251.579,3.706
0.1084,76.138,251.41,3.546,76.138,251.41,3.546
0.10966,74.906,255.062,3.564,74.906,255.062,3.564
0.11092,73.578,256.659,3.58,73.578,256.659,3.58
0.11218,72.165,256.789,3.36,72.165,256.789,3.36
0.11345,70.778,259.508,3.499,70.778,259.508,3.499
0.11471,70.027,257.59,3.439,70.027,257.59,3.439
0.11597,69.418,260.183,3.237,69.418,260.183,3.237
0.11723,67.628,262.216,3.22,67.628,262.216,3.22
0.11849,67.088,264.433,3.205,67.088,264.433,3.205
0.11975,65.568,264.294,3.039,65.568,264.294,3.039
0.12101,64.558,265.65,3.012,64.558,265.65,3.012
0.12227,63.061,268.046,2.949,63.061,268.046,2.949
0.12353,63.004,266.403,3.042,63.004,266.403,3.042
0.12479,61.933,271.982,2.899,61.933,271.982,2.899
0.12605,61.071,266.629,2.85,61.071,266.629,2.85
0.12731,59.873,268.943,3.011,59.873,268.943,3.011
0.12857,59.331,268.948,2.728,59.331,268.948,2.728
0.12983,58.499,270.742,2.775,58.499,270.742,2.775
0.13109,56.786,271.721,2.574,56.786,271.721,2.574
0.13235,56.496,274.371,2.652,56.496,274.371,2.652
0.13361,55.506,271.036,2.605,55.506,271.036,2.605
0.13487,54.336,273.728,2.477,54.336,273.728,2.477
0.13613,53.748,276.684,2.476,53.748,276.684,2.476
0.13739,53.266,275.82,2.347,53.266,275.82,2.347
0.13866,52.036,276.878,2.54,52.036,276.878,2.54
0.13992,50.975,278.286,2.322,50.975,278.286,2.322
0.14118,50.535,276.683,2.372,50.535,276.683,2.372
0.14244,50.037,280.359,2.387,50.037,280.359,2.387
0.1437,48.816,281.777,2.345,48.816,281.777,2.345
0.14496,47.853,280.497,2.21,47.853,280.497,2.21
0.14622,47.849,281.553,2.193,47.849,281.553,2.193
0.14748,46.786,285.64,2.368,46.786,285.64,2.368
0.14874,46.061,281.445,2.207,46.061,281.445,2.207
0.15,45.351,283.134,2.228,45.351,283.134,2.228
